compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0148	6-oxopiperidine-2-carboxylate	NA	3014237
CPD0149	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	C17337	3081085
CPD0150	7-methylguanine	C02242	11361
CPD0151	7-methylurate	C16355	69160
CPD0152	7-methylxanthine	C16353	68374
CPD0153	9,10-DiHOME	C14828	9966640
CPD0220	C-glycosyltryptophan	NA	10981970
CPD0234	CE(12:0)	NA	NA
CPD0235	CE(14:0)	NA	NA
CPD0236	CE(14:1)	NA	NA
CPD0237	CE(15:0)	NA	NA
CPD0238	CE(16:0)	C11251	NA
CPD0239	CE(16:1)	NA	NA
CPD0240	CE(17:0)	NA	NA
CPD0241	CE(18:0)	NA	NA
CPD0242	CE(18:1)	NA	NA
CPD0243	CE(18:2)	C15441	NA
CPD0244	CE(18:3)	NA	NA
CPD0245	CE(18:4)	NA	NA
CPD0246	CE(20:0)	NA	NA
CPD0247	CE(20:1)	NA	NA
CPD0248	CE(20:2)	NA	NA
CPD0249	CE(20:3)	NA	NA
CPD0250	CE(20:4)	NA	NA
CPD0251	CE(20:5)	NA	NA
CPD0252	CE(22:0)	NA	NA
CPD0253	CE(22:1)	NA	NA
CPD0254	CE(22:2)	NA	NA
CPD0255	CE(22:4)	NA	NA
CPD0256	CE(22:5)	NA	NA
CPD0257	CE(22:6)	NA	NA
CPD0258	CE(24:0)	NA	NA
CPD0259	CE(24:1)	NA	NA
CPD0260	CER(14:0)	C13916	NA
CPD0261	CER(16:0)	NA	NA
CPD0262	CER(18:0)	NA	NA
CPD0263	CER(18:1)	NA	NA
CPD0264	CER(20:0)	NA	NA
CPD0265	CER(20:1)	NA	NA
CPD0266	CER(22:0)	NA	NA
CPD0267	CER(22:1)	NA	NA
CPD0268	CER(24:0)	NA	NA
CPD0269	CER(24:1)	NA	NA
CPD0270	CER(26:0)	NA	NA
CPD0271	CER(26:1)	NA	NA
CPD0305	DAG(12:0/16:0)	NA	NA
CPD0306	DAG(12:0/18:0)	NA	NA
CPD0307	DAG(12:0/18:1)	NA	NA
CPD0308	DAG(12:0/18:2)	NA	NA
CPD0309	DAG(14:0/14:0)	C16667	NA
CPD0310	DAG(14:0/16:0)	NA	NA
CPD0311	DAG(14:0/16:1)	NA	NA
CPD0312	DAG(14:0/18:1)	NA	NA
CPD0313	DAG(14:0/18:2)	NA	NA
CPD0314	DAG(14:0/18:3)	NA	NA
CPD0315	DAG(14:0/20:0)	NA	NA
CPD0316	DAG(14:0/20:4)	NA	NA
CPD0317	DAG(14:0/22:6)	NA	NA
CPD0318	DAG(14:1/16:0)	NA	NA
CPD0319	DAG(14:1/18:1)	NA	NA
CPD0320	DAG(15:0/18:1)	NA	NA
CPD0321	DAG(15:0/18:2)	NA	NA
CPD0322	DAG(16:0/16:0)	NA	NA
CPD0323	DAG(16:0/16:1)	NA	NA
CPD0324	DAG(16:0/18:0)	NA	NA
CPD0325	DAG(16:0/18:1)	C13861	NA
CPD0326	DAG(16:0/18:2)	NA	NA
CPD0327	DAG(16:0/18:3)	NA	NA
CPD0328	DAG(16:0/20:3)	NA	NA
CPD0329	DAG(16:0/20:4)	NA	NA
CPD0330	DAG(16:0/22:6)	NA	NA
CPD0331	DAG(16:1/16:1)	NA	NA
CPD0332	DAG(16:1/18:0)	NA	NA
CPD0333	DAG(16:1/18:1)	NA	NA
CPD0334	DAG(16:1/18:2)	NA	NA
CPD0335	DAG(16:1/18:3)	NA	NA
CPD0336	DAG(16:1/20:0)	NA	NA
CPD0337	DAG(16:1/20:2)	NA	NA
CPD0338	DAG(16:1/20:4)	NA	NA
CPD0339	DAG(16:1/22:6)	NA	NA
CPD0340	DAG(18:0/18:1)	NA	NA
CPD0341	DAG(18:0/18:2)	NA	NA
CPD0342	DAG(18:0/18:3)	NA	NA
CPD0343	DAG(18:0/22:6)	NA	NA
CPD0344	DAG(18:1/18:1)	NA	NA
CPD0345	DAG(18:1/18:2)	NA	NA
CPD0346	DAG(18:1/20:1)	NA	NA
CPD0347	DAG(18:1/20:2)	NA	NA
CPD0348	DAG(18:1/20:3)	NA	NA
CPD0349	DAG(18:1/20:4)	NA	NA
CPD0350	DAG(18:1/22:4)	NA	NA
CPD0351	DAG(18:1/22:6)	NA	NA
