compound_id	BIOCHEMICAL	INCHIKEY
CPD00762	3-formylindole	OLNJUISKUQQNIM-UHFFFAOYAL
CPD00274	3-hydroxy-2-ethylpropionate	ZMZQVAUJTDKQGE-UHFFFAOYAZ
CPD00822	3-hydroxy-2-methylpyridine sulfate	
CPD00008	3-hydroxy-3-methylglutarate	NPOAOTPXWNWTSH-NUQVWONBAH
CPD00035	3-hydroxybutyrate (BHBA)	WHBMMWSBFZVSSR-UHFFFAOYAO
CPD00758	3-hydroxybutyroylglycine**	
CPD00246	3-hydroxydecanoate	FYSSBMZUBSBFJL-UHFFFAOYAJ
CPD00833	3-hydroxydecanoylcarnitine	VCRSQDIROUELAR-UHFFFAOYAT
CPD00344	3-hydroxydodecanedioate*	FYVQCLGZFXHEGL-UHFFFAOYAV
CPD00591	3-hydroxyhexanoate	HPMGFDVTYHWBAG-UHFFFAOYAJ
CPD00814	3-hydroxyhexanoylcarnitine (1)	
CPD00446	3-hydroxyhippurate	XDOFWFNMYJRHEW-UHFFFAOYAF
CPD00007	3-hydroxyisobutyrate	DBXBTMSZEOQQDU-REWHXWOFAW
CPD00265	3-hydroxylaurate	MUCMKTPAZLSKTL-UHFFFAOYAV
CPD00239	3-hydroxymyristate	ATRNZOYKSNPPBF-UHFFFAOYAM
CPD00227	3-hydroxyoctanoate	NDPLAKGOSZHTPH-UHFFFAOYAI
CPD00859	3-hydroxyoctanoylcarnitine (1)	
CPD00860	3-hydroxyoctanoylcarnitine (2)	
CPD00743	3-hydroxyoleoylcarnitine	YBCVTTMMURGSEY-LMLDZDDJBA
CPD00744	3-hydroxyphenylacetoylglutamine	LZJXOHRONRTVRW-JTQLQIEIBS
CPD00808	3-hydroxypyridine glucuronide	
CPD00563	3-hydroxypyridine sulfate	
CPD00268	3-hydroxysebacate	OQYZCCKCJQWHIE-UHFFFAOYAK
CPD00775	3-indoleglyoxylic acid	DWLVFWDCSFTDOD-UHFFFAOYAW
CPD00212	3-indoxyl sulfate	BXFFHSIDQOFMLE-UHFFFAOYAB
CPD00595	3-methoxycatechol sulfate (1)	
CPD00596	3-methoxycatechol sulfate (2)	
CPD00537	3-methoxytyramine sulfate	ORZHQEJEAKXCJA-UHFFFAOYAN
CPD00165	3-methoxytyrosine	PFDUUKDQEHURQC-ZETCQYMHBZ
CPD00516	3-methyl catechol sulfate (1)	
CPD00514	3-methyl catechol sulfate (2)	
CPD00242	3-methyl-2-oxobutyrate	QHKABHOOEWYVLI-UHFFFAOYAY
CPD00190	3-methyl-2-oxovalerate	JVQYSWDUAOAHFM-UHFFFAOYAW
CPD00400	3-methyladipate	SYEOWUNSTUDKGM-UHFFFAOYAW
CPD00348	3-methylcytidine	BWXZYULEOLQCKN-NNRPTJCQBK
CPD00464	3-methylglutaconate	WKRBKYFIJPGYQC-DUXPYHPUBK
CPD00552	3-methylglutarylcarnitine (2)	HFCPFJNSBPQJDP-UHFFFAOYAE
CPD00192	3-methylhistidine	JDHILDINMRGULE-LURJTMIEBU
CPD00264	3-methylxanthine	GMSNIKWWOQHZGF-UHFFFAOYAL
CPD00185	3-phenylpropionate (hydrocinnamate)	XMIIGOLPHOKFCH-UHFFFAOYAR
CPD00010	3-phosphoglycerate	IACAHGYCKIUESG-REWHXWOFAW
CPD00130	3-ureidopropionate	JSJWCHRYRHKBBW-UHFFFAOYAH
CPD00142	4-acetamidobutanoate	UZTFMUBKZQVKLK-UHFFFAOYAY
CPD00179	4-acetaminophen sulfate	IGTYILLPRJOVFY-UHFFFAOYAN
CPD00819	4-acetylcatechol sulfate (1)	
CPD00225	4-acetylphenol sulfate	HOFGLAYWQRGTKC-UHFFFAOYAS
CPD00807	4-allylcatechol sulfate	
CPD00410	4-allylphenol sulfate	
CPD00456	4-cholesten-3-one	NYOXRYYXRWJDKP-UHFFFAOYAV
CPD00800	4-ethylcatechol sulfate	
CPD00398	4-ethylphenylsulfate	
CPD00194	4-guanidinobutanoate	TUHVEAJXIMEOSA-UHFFFAOYAM
CPD00471	4-hydroxy-2-oxoglutaric acid	WXSKVKPSMAHCSG-UHFFFAOYAL
CPD00561	4-hydroxychlorothalonil	MDQKYGOECVSPIW-UHFFFAOYAI
CPD00439	4-hydroxycoumarin	VXIXUWQIVKSKSA-UHFFFAOYAD
CPD00472	4-hydroxyglutamate	HBDWQSHEVMSFGY-SCQFTWEKBW
CPD00337	4-hydroxyhippurate	ZMHLUFWWWPBTIU-UHFFFAOYAI
CPD00012	4-hydroxyphenylacetate	XQXPVVBIMDBYFF-REWHXWOFAL
CPD00603	4-hydroxyphenylacetoylcarnitine	
CPD00685	4-hydroxyphenylacetylglutamine	
CPD00150	4-hydroxyphenylpyruvate	KKADPXVIOXHVKN-UHFFFAOYAH
CPD00577	4-methoxyphenol sulfate	
CPD00213	4-methyl-2-oxopentanoate	BKAJNAXTPSGJCU-UHFFFAOYAG
