compound_id	BIOCHEMICAL	INCHIKEY
CPD00070	palmitoleate (16:1n7)	SECPZKHBENQXJG-FPLPWBNLBE
CPD00683	palmitoleoylcarnitine (C16:1)*	JFAGPSOZZSTLRF-KHPPLWFEBO
CPD00622	palmitoyl dihydrosphingomyelin (d18:0/16:0)*	QHZIGNLCLJPLCU-QPPIDDCLBH
CPD00445	palmitoyl sphingomyelin (d18:1/16:0)	RWKUXQNLWDTSLO-GWQJGLRPBP
CPD00229	palmitoylcarnitine (C16)	XOMRRQXKHMYMOC-UHFFFAOYAU
CPD00665	palmitoylcholine	
CPD00834	palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)	
CPD00473	pantoate	OTOIIPJYVQJATP-BYPYZUCNBD
CPD00126	pantothenate	GHOKWGTUZJEAQD-ZETCQYMHBS
CPD00210	paraxanthine	QUNWUDVFRNGTCO-UHFFFAOYAS
CPD00575	p-cresol glucuronide*	JPAUCQAJHLSMQW-XPORZQOIBX
CPD00312	p-cresol sulfate	WGNAKZGUSRVWRH-REWHXWOFAB
CPD00119	pentadecanoate (15:0)	WQEPLUUGTLDZJY-UHFFFAOYAK
CPD00843	pentose acid*	
CPD00692	perfluorooctanesulfonate (PFOS)	YFSUTJLHUFNCNZ-UHFFFAOYAS
CPD00757	perfluorooctanoate (PFOA)	SNGREZUHAYWORS-UHFFFAOYAQ
CPD00609	phenol glucuronide	WVHAUDNUGBNUDZ-GOVZDWNOBK
CPD00353	phenol sulfate	CTYRPMDGLDAWRQ-UHFFFAOYAC
CPD00186	phenylacetate	WLJVXDMOQOGPHL-UHFFFAOYAR
CPD00565	phenylacetylcarnitine	
CPD00650	phenylacetylglutamate	PTSRBZOZSRJCKX-JTQLQIEIBG
CPD00336	phenylacetylglutamine	JFLIEFSWGNOPJJ-UHFFFAOYAD
CPD00071	phenylalanine	COLNVLDHVKWLRT-QMMMGPOBBC
CPD00228	phenyllactate (PLA)	VOXXWSYKYCBWHO-UHFFFAOYAI
CPD00031	phenylpyruvate	BTNMPGBKDVTSJY-UHFFFAOYAU
CPD00072	phosphate	NBIIXXVUZAFLBC-DFZHHIFOAA
CPD00128	phosphoethanolamine	SUHOOTKUPISOBE-UHFFFAOYAT
CPD00073	phytanate	RLCKHJSFHOZMDR-REWHXWOFAK
CPD00124	picolinate	SIOXPEMLGUPBBT-UHFFFAOYAC
CPD00835	picolinoylglycine	MNYZGNSHBPLAFN-UHFFFAOYAS
CPD00684	pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)	
CPD00127	pipecolate	
CPD00294	piperine	MXXWOMGUGJBKIW-YPCIICBEBY
CPD00499	pregnanediol-3-glucuronide	ZFFFJLDTCLJDHL-JQYCEVDMBA
CPD00425	pregnenediol disulfate (C21H34O8S2)*	
CPD00440	pregnenediol sulfate (C21H34O5S)*	
CPD00828	pregnenetriol disulfate*	
CPD00827	pregnenetriol sulfate*	
CPD00448	pregnenolone sulfate	DIJBBUIOWGGQOP-QGVNFLHTBX
CPD00074	pristanate	PAHGJZDQXIOYTH-UHFFFAOYAH
CPD00273	pro-hydroxy-pro	ONPXCLZMBSJLSP-ALKRTJFJBT
CPD00075	proline	ONIBWKKTOPOVIA-BYPYZUCNBZ
CPD00501	prolylglycine	RNKSNIBMTUYWSH-YFKPBYRVBZ
CPD00272	propionylcarnitine (C3)	UFAHZIUFPNSHSL-UHFFFAOYAT
CPD00270	propionylglycine	WOMAZEJKVZLLFE-UHFFFAOYAY
CPD00578	propyl 4-hydroxybenzoate sulfate	
CPD00101	pseudouridine	HZIOZCLEXIYJAD-JWMKEVCDBU
CPD00077	pyridoxal	RADKZDMFGJYCBB-UHFFFAOYAP
CPD00266	pyridoxate	HXACOUQIXZGNBF-UHFFFAOYAG
CPD00401	pyrraline	VTYFITADLSVOAS-UHFFFAOYAA
CPD00102	pyruvate	LCTONWCANYUPML-REWHXWOFAD
CPD00207	quinate	AAWZDTNXLSGCEK-WYWMIBKRBU
CPD00017	quinolinate	GJAWHXHKYYXBSV-UHFFFAOYAW
CPD00078	retinol (Vitamin A)	FPIPGXGPPPQFEQ-OVSJKPMPBW
CPD00204	ribitol	HEBKCHPVOIAQTA-ZXFHETKHBG
CPD00001	S-1-pyrroline-5-carboxylate	DWAKNKKXGALPNW-REWHXWOFAV
CPD00021	S-adenosylhomocysteine (SAH)	
CPD00079	salicylate	4000
CPD00314	salicyluric glucuronide*	OEPADIDIUZTYOX-UHFFFAOYAT
CPD00530	S-allylcysteine	ZFAHNWWNDFHPOH-UHFFFAOYAF
CPD00125	sarcosine	FSYKKLYZXJSNPZ-UHFFFAOYAL
CPD00846	S-carboxyethylcysteine	CAMXXPUSAROUCX-BYPYZUCNBD
CPD00283	sebacate (C10-DC)	CXMXRPHRNRROMY-UHFFFAOYAE
CPD00080	serine	MTCFGRXMJLQNBG-REOHCLBHBX
CPD00081	serotonin	QZAYGJVTTNCVMB-UHFFFAOYAX
CPD00474	S-methylcysteine	IDIDJDIHTAOVLG-VKHMYHEABD
CPD00484	S-methylcysteine sulfoxide	4000
CPD00451	S-methylmethionine	YDBYJHTYSHBBAU-UHFFFAOYAF
CPD00002	spermidine	ATHGHQPFGPMSJY-UHFFFAOYAK
CPD00698	sphingadienine	KWDXKYNWAKMLKK-YQMRQDNGBF
CPD00045	sphinganine	OTKJDMGTUTTYMP-UHFFFAOYAS
CPD00413	sphinganine-1-phosphate	YHEDRJPUIRMZMP-UHFFFAOYAT
CPD00770	sphingomyelin (d17:1/14:0, d16:1/15:0)*	
CPD00588	sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*	LQINJRUGTUOHGS-YPDYIYJKBT
CPD00717	sphingomyelin (d17:2/16:0, d18:2/15:0)*	
CPD00645	sphingomyelin (d18:0/18:0, d19:0/17:0)*	
CPD00710	sphingomyelin (d18:0/20:0, d16:0/22:0)*	
CPD00527	sphingomyelin (d18:1/14:0, d16:1/16:0)*	KYICBZWZQPCUMO-PSALXKTOBW
CPD00617	sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)	
CPD00444	sphingomyelin (d18:1/18:1, d18:2/18:0)	NBEADXWAAWCCDG-QDDWGVBQBP
CPD00711	sphingomyelin (d18:1/19:0, d19:1/18:0)*	
CPD00581	sphingomyelin (d18:1/20:0, d16:1/22:0)*	AADLTHQNYQJHQV-SVLGDMRNBJ
CPD00582	sphingomyelin (d18:1/20:1, d18:2/20:0)*	
CPD00583	sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*	
CPD00643	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	
CPD00585	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	VBFKEZGCUWHGSK-ADSSWVSQBB
CPD00586	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	
CPD00555	sphingomyelin (d18:1/24:1, d18:2/24:0)*	WKZHECFHXLTOLJ-QYKFWSDSBN
CPD00716	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	JONXXLXMISNQNG-BXMSAMRLBO
CPD00554	sphingomyelin (d18:2/14:0, d18:1/14:1)*	
CPD00528	sphingomyelin (d18:2/16:0, d18:1/16:1)*	
CPD00712	sphingomyelin (d18:2/18:1)*	
CPD00714	sphingomyelin (d18:2/21:0, d16:2/23:0)*	
CPD00624	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	
CPD00715	sphingomyelin (d18:2/23:1)*	
CPD00625	sphingomyelin (d18:2/24:1, d18:1/24:2)*	
CPD00713	sphingomyelin (d18:2/24:2)*	
CPD00042	sphingosine	WWUZIQQURGPMPG-CCEZHUSRBL
CPD00216	sphingosine 1-phosphate	DUYSYHSSBDVJSM-KRWOKUGFBM
CPD00308	stachydrine	CMUNUTVVOOHQPW-LURJTMIEBI
CPD00067	stearate (18:0)	QIQXTHQIDYTFRH-UHFFFAOYAB
CPD00284	stearidonate (18:4n3)	JIWBIWFOSCKQMA-LTKCOYKYBT
CPD00171	stearoyl sphingomyelin (d18:1/18:0)	LKQLRGMMMAHREN-YJFXYUILBI
CPD00319	stearoylcarnitine (C18)	FNPHNLNTJNMAEE-HSZRJFAPBW
CPD00706	stearoylcholine*	
CPD00189	suberate (C8-DC)	TYFQFVWCELRYAO-UHFFFAOYAN
CPD00034	succinate	KDYFGRWQOYBRFD-UHFFFAOYAC
CPD00504	succinimide	KZNICNPSHKQLFF-UHFFFAOYAV
CPD00836	succinoyltaurine	
CPD00415	succinylcarnitine (C4-DC)	
CPD00118	sucrose	CZMRCDWAGMRECN-UGDNZRGBBE
CPD00794	sulfate of piperine metabolite C16H19NO3 (2)*	
CPD00795	sulfate of piperine metabolite C16H19NO3 (3)*	
CPD00796	sulfate of piperine metabolite C18H21NO3 (1)*	
CPD00797	sulfate of piperine metabolite C18H21NO3 (3)*	
CPD00470	sulfate*	QAOWNCQODCNURD-UHFFFAOYAC
CPD00203	tartarate	FEWJPZIEWOKRBE-UHFFFAOYAZ
CPD00235	tartronate (hydroxymalonate)	ROBFUDYVXSDBQM-UHFFFAOYAD
CPD00082	taurine	XOAAWQZATWQOTB-UHFFFAOYAA
CPD00287	tauro-beta-muricholate	XSOLDPYUICCHJX-OEYGYFRSBZ
CPD00175	taurochenodeoxycholate	BHTRKEVKTKCXOH-BJLOMENOBE
CPD00825	taurochenodeoxycholic acid 3-sulfate	IJHJZQKOSUFQCX-WZJRQFJBBW
CPD00176	taurocholate	WBWWGRHZICKQGZ-HZAMXZRMBW
CPD00423	taurocholenate sulfate*	
CPD00177	taurodeoxycholate	AWDRATDZQPNJFN-VAYUFCLWBR
CPD00607	taurodeoxycholic acid 3-sulfate	
CPD00386	taurolithocholate 3-sulfate	HSNPMXROZIQAQD-GBURMNQMBI
CPD00826	tetradecadienedioate (C14:2-DC)*	
CPD00771	tetradecadienoate (14:2)*	HXHZGHRLVRFQDR-HZJYTTRNBB
CPD00379	tetradecanedioate (C14-DC)	HQHCYKULIHKCEB-UHFFFAOYAK
CPD00869	tetrahydrocortisol glucuronide	
CPD00208	theobromine	YAPQBXQYLJRXSA-UHFFFAOYAW
CPD00206	theophylline	ZFXYFBGIUFBOJW-UHFFFAOYAT
CPD00664	thioproline	DZLNHFMRPBPULJ-VKHMYHEABX
CPD00250	threonate	JPIJQSOTBSSVTP-GBXIJSLDBD
CPD00090	threonine	AYFVYJQAPQTCCC-GBXIJSLDBG
CPD00399	thymol sulfate	NODSEPOUFZPJEQ-UHFFFAOYAU
CPD00136	thyroxine	XUIIKFGFIJCVMT-LBPRGKRZBS
CPD00374	tiglylcarnitine (C5:1-DC)	WURBQCVBQNMUQT-RMKNXTFCBN
CPD00745	trans-2-hexenoylglycine	AAPHATPOQGNLOZ-SNAWJCMRBI
CPD00608	trans-3,4-methyleneheptanoate	
CPD00120	trans-4-hydroxyproline	PMMYEEVYMWASQN-DMTCNVIQBF
CPD00087	trans-urocanate	LOIYMIARKYCTBW-OWOJBTEDBA
CPD00623	tricosanoyl sphingomyelin (d18:1/23:0)*	
CPD00454	tridecenedioate (C13:1-DC)*	
CPD00260	trigonelline (N'-methylnicotinate)	WWNNZCOKKKDOPX-UHFFFAOYAV
CPD00495	trimethylamine N-oxide	UYPYRKYUKCHHIB-UHFFFAOYAU
CPD00091	tryptophan	QIVBCDIJIAJPQS-VIFPVBQEBP
CPD00396	tryptophan betaine	AOHCBEAZXHZMOR-ZDUSSCGKBF
CPD00562	tyramine O-sulfate	DYDUXGMDSXJQFT-UHFFFAOYAH
CPD00100	tyrosine	OUYCCCASQSFEME-QMMMGPOBBZ
CPD00580	umbelliferone sulfate	LJOOSFYJELZGMR-UHFFFAOYAS
CPD00831	undecenoylcarnitine (C11:1)	
CPD00146	urate	LEHOTFFKMJEONL-UHFFFAOYAN
CPD00084	urea	XSQUKJJJFZCRTK-UHFFFAOYAF
CPD00085	uridine	DRTQHJPVMGBUCF-XVFCMESIBG
CPD00147	ursodeoxycholate	RUDATBOHQWOJDD-UZVSRGJWBC
CPD00092	valine	KZSNJWFQEVHDMF-BYPYZUCNBW
CPD00571	vanillactate	SVYIZYRTOYHQRE-UHFFFAOYAV
CPD00840	vanillic acid glycine	LOODYTDRRBLQNH-UHFFFAOYAZ
CPD00569	vanillic alcohol sulfate	
CPD00141	vanillylmandelate (VMA)	CGQCWMIAEPEHNQ-UHFFFAOYAY
CPD00872	X-07765	
CPD00873	X-10458	
CPD00874	X-11299	
CPD00875	X-11308	
CPD00876	X-11315	
CPD00877	X-11372	
CPD00878	X-11381	
CPD00879	X-11444	
CPD00880	X-11470	
CPD00881	X-11478	
CPD00882	X-11483	
CPD00883	X-11632	
CPD00884	X-11787	
CPD00885	X-11795	
CPD00886	X-11843	
CPD00887	X-11847	
CPD00888	X-11849	
CPD00889	X-11850	
CPD00890	X-11852	
CPD00891	X-11858	
CPD00892	X-11880	
CPD00893	X-12007	
CPD00894	X-12013	
CPD00895	X-12026	
CPD00896	X-12100	
CPD00897	X-12101	
CPD00898	X-12104	
CPD00899	X-12112	
CPD00900	X-12117	
CPD00901	X-12127	
CPD00902	X-12193	
CPD00903	X-12216	
CPD00904	X-12221	
CPD00905	X-12261	
CPD00906	X-12283	
CPD00907	X-12306	
CPD00908	X-12407	
CPD00909	X-12410	
CPD00910	X-12411	
CPD00911	X-12462	
CPD00912	X-12544	
CPD00913	X-12680	
CPD00914	X-12701	
CPD00915	X-12707	
CPD00916	X-12714	
CPD00917	X-12729	
CPD00918	X-12730	
CPD00919	X-12731	
CPD00920	X-12738	
CPD00921	X-12740	
CPD00922	X-12798	
CPD00923	X-12812	
CPD00924	X-12816	
CPD00925	X-12818	
CPD00926	X-12822	
CPD00927	X-12830	
CPD00928	X-12839	
CPD00929	X-12844	
CPD00930	X-12847	
CPD00931	X-12849	
CPD00932	X-12851	
CPD00933	X-12906	
CPD00934	X-13007	
CPD00935	X-13431	
CPD00936	X-13507	
CPD00937	X-13553	
CPD00938	X-13684	
CPD00939	X-13695	
CPD00940	X-13723	
CPD00941	X-13728	
CPD00942	X-13729	
CPD00943	X-13844	
CPD00944	X-13866	
CPD00945	X-14056	
CPD00946	X-14939	
CPD00947	X-15461	
CPD00948	X-15486	
CPD00949	X-15503	
CPD00950	X-15523	
CPD00951	X-15728	
CPD00952	X-16087	
CPD00953	X-16124	
CPD00954	X-16397	
CPD00955	X-16580	
CPD00956	X-16935	
CPD00957	X-16964	
CPD00958	X-17010	
CPD00959	X-17146	
CPD00960	X-17325	
CPD00961	X-17328	
CPD00962	X-17335	
CPD00963	X-17346	
CPD00964	X-17351	
CPD00965	X-17354	
CPD00966	X-17357	
CPD00967	X-17367	
CPD00968	X-17438	
CPD00969	X-17653	
CPD00970	X-17654	
CPD00971	X-17676	
CPD00972	X-17685	
CPD00973	X-17690	
CPD00974	X-18345	
CPD00975	X-18779	
CPD00976	X-18886	
CPD00977	X-18887	
CPD00978	X-18888	
CPD00979	X-18901	
CPD00980	X-18913	
CPD00981	X-18921	
CPD00982	X-18922	
CPD00983	X-18935	
CPD00984	X-19141	
CPD00985	X-19299	
CPD00986	X-19438	
CPD00987	X-21258	
CPD00988	X-21283	
CPD00989	X-21285	
CPD00990	X-21286	
CPD00991	X-21310	
CPD00992	X-21312	
CPD00993	X-21319	
CPD00994	X-21339	
CPD00995	X-21353	
CPD00996	X-21355	
CPD00997	X-21364	
CPD00998	X-21383	
CPD00999	X-21441	
CPD01000	X-21442	
CPD01001	X-21467	
CPD01002	X-21470	
CPD01003	X-21471	
CPD01004	X-21607	
CPD01005	X-21733	
CPD01006	X-21736	
CPD01007	X-21742	
CPD01008	X-21752	
CPD01009	X-21796	
CPD01010	X-21807	
CPD01011	X-21821	
CPD01012	X-21829	
CPD01013	X-21834	
CPD01014	X-21845	
CPD01015	X-22162	
CPD01016	X-22509	
CPD01017	X-22520	
CPD01018	X-22771	
CPD01019	X-22776	
CPD01020	X-22834	
CPD01021	X-23276	
CPD01022	X-23587	
CPD01023	X-23593	
CPD01024	X-23636	
CPD01025	X-23639	
CPD01026	X-23641	
CPD01027	X-23644	
CPD01028	X-23648	
CPD01029	X-23654	
CPD01030	X-23655	
CPD01031	X-23659	
CPD01032	X-23665	
CPD01033	X-23678	
CPD01034	X-23680	
CPD01035	X-23739	
CPD01036	X-23780	
CPD01037	X-23782	
CPD01038	X-23974	
CPD01039	X-23997	
CPD01040	X-24241	
CPD01041	X-24243	
CPD01042	X-24295	
CPD01043	X-24306	
CPD01044	X-24307	
CPD01045	X-24328	
CPD01046	X-24334	
CPD01047	X-24337	
CPD01048	X-24344	
CPD01049	X-24418	
CPD01050	X-24456	
CPD01051	X-24494	
CPD01052	X-24518	
CPD01053	X-24531	
CPD01054	X-24544	
CPD01055	X-24546	
CPD01056	X-24556	
CPD01057	X-24565	
CPD01058	X-24585	
CPD01059	X-24588	
CPD01060	X-24728	
CPD01061	X-24736	
CPD01062	X-24757	
CPD01063	X-24795	
CPD01064	X-24801	
CPD01065	X-24811	
CPD01066	X-24812	
CPD01067	X-24947	
CPD01068	X-24949	
CPD01069	X-24951	
CPD01070	X-24970	
CPD01071	X-24978	
CPD01072	X-25109	
CPD01073	X-25172	
CPD01074	X-25217	
CPD01075	X-25265	
CPD01076	X-25271	
CPD01077	X-25343	
CPD01078	X-25371	
CPD01079	X-25419	
CPD01080	X-25420	
CPD01081	X-25422	
CPD01082	X-25433	
CPD01083	X-25519	
CPD01084	X-25520	
CPD01085	X-25790	
CPD01086	X-25810	
CPD01087	X-25828	
CPD01088	X-25957	
CPD01089	X-26054	
CPD01090	X-26109	
CPD01091	X-26111	
CPD00122	xanthine	LRFVTYWOQMYALW-UHFFFAOYAT
CPD00188	xanthurenate	FBZONXHGGPHHIY-UHFFFAOYAE
CPD00724	ximenoylcarnitine (C26:1)*	
CPD00103	xylose	PYMYPHUHKUWMLA-WISUUJSJBP
