chemical_name	analysismode	mz	rt	compound_id
244.0140_0.53	RP_POS	244.014	0.53	C000469
108.0939_0.51	RP_POS	108.0939	0.51	C000470
131.0696_0.53	RP_POS	131.0696	0.53	C000471
98.0190_0.53	RP_POS	98.019	0.53	C000472
466.0702_0.54	RP_POS	466.0702	0.54	C000473
730.8833_0.61	RP_POS	730.8833	0.61	C000474
513.0299_0.53	RP_POS	513.0299	0.53	C000475
438.9982_0.60	RP_POS	438.9982	0.6	C000476
762.8206_0.61	RP_POS	762.8206	0.61	C000477
234.0415_0.60	RP_POS	234.0415	0.6	C000478
176.0932_0.61	RP_POS	176.0932	0.61	C000479
143.0582_0.62	RP_POS	143.0582	0.62	C000480
206.1014_0.61	RP_POS	206.1014	0.61	C000481
154.0449_0.62	RP_POS	154.0449	0.62	C000482
459.0558_0.64	RP_POS	459.0558	0.64	C000483
741.8376_0.62	RP_POS	741.8376	0.62	C000484
105.0093_0.62	RP_POS	105.0093	0.62	C000485
727.8247_0.64	RP_POS	727.8247	0.64	C000486
216.9799_0.64	RP_POS	216.9799	0.64	C000487
170.9743_0.65	RP_POS	170.9743	0.65	C000488
765.8010_0.68	RP_POS	765.801	0.68	C000489
211.9993_0.65	RP_POS	211.9993	0.65	C000490
660.8054_0.68	RP_POS	660.8054	0.68	C000491
127.0382_0.64	RP_POS	127.0382	0.64	C000492
125.0454_0.65	RP_POS	125.0454	0.65	C000493
288.0595_0.53	RP_POS	288.0595	0.53	C000494
179.0947_0.76	RP_POS	179.0947	0.76	C000495
149.0237_0.76	RP_POS	149.0237	0.76	C000496
203.0820_0.76	RP_POS	203.082	0.76	C000497
