compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD000175	DAG(18:2/22:4)	NA	.
CPD000176	DAG(18:2/22:5)	NA	.
CPD000177	DAG(18:2/22:6)	NA	.
CPD000179	DCER(14:0)	NA	.
CPD000180	DCER(16:0)	NA	.
CPD000181	DCER(18:0)	NA	.
CPD000182	DCER(18:1)	NA	.
CPD000183	DCER(20:0)	NA	.
CPD000184	DCER(20:1)	NA	.
CPD000185	DCER(22:0)	NA	.
CPD000186	DCER(22:1)	NA	.
CPD000187	DCER(22:2)	NA	.
CPD000188	DCER(24:0)	NA	.
CPD000189	DCER(24:1)	NA	.
CPD000190	DCER(26:0)	NA	.
CPD000191	DCER(26:1)	NA	.
CPD000957	FFA(12:0)	NA	.
CPD000958	FFA(14:0)	NA	.
CPD000586	FFA(14:1)	NA	.
CPD000959	FFA(15:0)	NA	.
CPD000960	FFA(16:0)	NA	.
CPD000587	FFA(16:1)	NA	.
CPD000961	FFA(17:0)	NA	.
CPD000962	FFA(18:0)	NA	.
CPD000588	FFA(18:1)	NA	.
CPD000895	FFA(18:2)	NA	.
CPD000896	FFA(18:4)	NA	.
CPD000963	FFA(20:0)	NA	.
CPD000589	FFA(20:1)	NA	.
CPD000897	FFA(20:2)	NA	.
CPD000898	FFA(20:3)	NA	.
CPD000899	FFA(20:4)	NA	.
CPD000900	FFA(20:5)	NA	.
CPD000964	FFA(22:0)	NA	.
CPD000590	FFA(22:1)	NA	.
CPD000901	FFA(22:2)	NA	.
CPD000902	FFA(22:4)	NA	.
CPD000903	FFA(22:5)	NA	.
CPD000904	FFA(22:6)	NA	.
CPD000965	FFA(24:0)	NA	.
CPD000591	FFA(24:1)	NA	.
CPD000329	Fibrinopeptide A*	NA	16133137
CPD000330	Fibrinopeptide A, des-ala(1)*	NA	.
CPD000328	Fibrinopeptide A, phosphono-ser(3)*	NA	.
CPD000440	HCER(14:0)	NA	.
CPD000441	HCER(16:0)	NA	.
CPD000442	HCER(18:0)	NA	.
CPD000443	HCER(18:1)	NA	.
CPD000444	HCER(20:0)	NA	.
CPD000445	HCER(20:1)	NA	.
CPD000446	HCER(22:0)	NA	.
CPD000447	HCER(22:1)	NA	.
CPD000448	HCER(24:0)	NA	.
CPD000449	HCER(24:1)	NA	.
CPD000450	HCER(26:0)	NA	.
CPD000451	HCER(26:1)	NA	.
CPD000467	LCER(14:0)	NA	.
CPD000468	LCER(16:0)	NA	.
CPD000469	LCER(18:0)	NA	.
CPD000470	LCER(18:1)	NA	.
CPD000471	LCER(20:0)	NA	.
CPD000472	LCER(20:1)	NA	.
CPD000473	LCER(22:0)	NA	.
CPD000474	LCER(22:1)	NA	.
CPD000475	LCER(24:0)	NA	.
CPD000476	LCER(24:1)	NA	.
CPD000477	LCER(26:0)	NA	.
CPD000478	LCER(26:1)	NA	.
CPD000506	LPC(14:0)	NA	.
CPD000507	LPC(15:0)	NA	.
CPD000508	LPC(16:0)	NA	.
CPD000509	LPC(16:1)	NA	.
CPD000510	LPC(17:0)	NA	.
CPD000511	LPC(18:0)	NA	.
CPD000512	LPC(18:1)	NA	.
CPD000513	LPC(18:2)	NA	.
CPD000514	LPC(18:3)	NA	.
CPD000515	LPC(20:0)	NA	.
CPD000516	LPC(20:1)	NA	.
CPD000517	LPC(20:2)	NA	.
CPD000518	LPC(20:3)	NA	.
CPD000519	LPC(20:4)	NA	.
CPD000520	LPC(20:5)	NA	.
CPD000521	LPC(22:4)	NA	.
CPD000522	LPC(22:5)	NA	.
CPD000523	LPC(22:6)	NA	.
CPD000524	LPE(14:0)	NA	.
CPD000525	LPE(15:0)	NA	.
CPD000526	LPE(16:0)	NA	.
CPD000527	LPE(16:1)	NA	.
CPD000528	LPE(17:0)	NA	.
CPD000529	LPE(18:0)	NA	.
CPD000530	LPE(18:1)	NA	.
CPD000531	LPE(18:2)	NA	.
CPD000532	LPE(18:3)	NA	.
CPD000533	LPE(20:0)	NA	.
CPD000534	LPE(20:1)	NA	.
CPD000535	LPE(20:2)	NA	.
CPD000536	LPE(20:3)	NA	.
CPD000537	LPE(20:4)	NA	.
CPD000538	LPE(20:5)	NA	.
CPD000539	LPE(22:4)	NA	.
CPD000540	LPE(22:5)	NA	.
CPD000541	LPE(22:6)	NA	.
CPD000360	N-(2-furoyl)glycine	NA	21863
CPD000283	N-acetyl-2-aminooctanoate*	NA	95555
CPD000401	N-acetyl-aspartyl-glutamate (NAAG)	C12270	5255
CPD000953	N-acetyl-beta-alanine	C01073	76406
CPD000892	N-acetyl-isoputreanine*	NA	.
CPD000008	N-acetylalanine	C02847	88064
CPD000361	N-acetylalliin	NA	.
CPD001587	N-acetylarginine	C02562	67427
CPD000009	N-acetylaspartate (NAA)	C01042	65065
CPD000463	N-acetylcarnosine	NA	9903482
CPD001588	N-acetylcitrulline	C15532	656979
CPD000012	N-acetylglucosamine/N-acetylgalactosamine	NA	24139
CPD000402	N-acetylglutamate	C00624	70914
CPD000403	N-acetylglutamine	C02716	182230
CPD000420	N-acetylglycine	NA	10972
CPD000464	N-acetylhistidine	C02997	75619
CPD000501	N-acetylisoleucine	NA	2802421
CPD000502	N-acetylleucine	C02710	70912
CPD000569	N-acetylmethionine	C02712	448580
CPD000013	N-acetylneuraminate	C00270	439197
CPD000846	N-acetylphenylalanine	C03519	74839
CPD001589	N-acetylproline	NA	322640
CPD000893	N-acetylputrescine	C02714	122356
CPD000421	N-acetylserine	NA	65249
CPD000570	N-acetyltaurine	NA	159864
CPD000422	N-acetylthreonine	NA	152204
CPD001554	N-acetyltryptophan	C03137	700653
CPD001569	N-acetyltyrosine	NA	68310
CPD000503	N-acetylvaline	NA	66789
CPD001590	N-delta-acetylornithine	NA	9920500
CPD001555	N-formylanthranilic acid	C05653	101399
CPD000571	N-formylmethionine	C03145	439750
CPD001570	N-formylphenylalanine	NA	759256
CPD000237	N-linoleoyltaurine*	NA	.
CPD001591	N-methylproline	NA	557
CPD000238	N-oleoylserine	NA	.
CPD000239	N-oleoyltaurine	NA	6437033
CPD000280	N-palmitoylglycine	NA	151008
CPD000240	N-stearoyltaurine	NA	168274
CPD000549	N-trimethyl 5-aminovalerate	NA	.
CPD000593	N1-Methyl-2-pyridone-5-carboxamide	C05842	69698
CPD000928	N1-methyladenosine	C02494	27476
CPD000925	N1-methylinosine	NA	65095
CPD000937	N2,N2-dimethylguanosine	NA	92919
