compound_id	chemical_name	analysismode	rt	mz
C000291	8.36_468.2414	RP_POS	8.36	468.2414
C000292	12.02_323.2578	RP_POS	12.02	323.2578
C000293	9.89_451.1938	RP_POS	9.89	451.1938
C000294	6.76_269.1607	RP_POS	6.76	269.1607
C000295	10.96_498.2696	RP_POS	10.96	498.2696
C000296	8.27_480.1864	RP_POS	8.27	480.1864
C000297	10.98_431.2335	RP_POS	10.98	431.2335
C000298	3.94_457.1752	RP_POS	3.94	457.1752
C000299	3.20_105.0369	RP_POS	3.2	105.0369
C000300	10.64_449.1781	RP_POS	10.64	449.1781
C000301	3.67_362.1556	RP_POS	3.67	362.1556
C000302	2.93_274.0739	RP_POS	2.93	274.0739
C000303	9.13_379.0998	RP_POS	9.13	379.0998
C000304	2.06_139.0992	RP_POS	2.06	139.0992
C000305	3.88_268.0847	RP_POS	3.88	268.0847
C000306	3.08_265.0817	RP_POS	3.08	265.0817
C000307	11.67_261.1847	RP_POS	11.67	261.1847
C000308	13.58_343.2629	RP_POS	13.58	343.2629
C000309	12.07_617.3069	RP_POS	12.07	617.3069
C000310	10.66_395.1677	RP_POS	10.66	395.1677
C000311	5.15_216.0830	RP_POS	5.15	216.083
C000312	2.71_336.1075	RP_POS	2.71	336.1075
C000313	10.19_443.1734	RP_POS	10.19	443.1734
C000314	2.80_229.1005	RP_POS	2.8	229.1005
C000315	9.44_288.1803	RP_POS	9.44	288.1803
C000316	4.78_340.1753	RP_POS	4.78	340.1753
C000317	2.32_264.1170	RP_POS	2.32	264.117
C000318	11.97_386.2899	RP_POS	11.97	386.2899
C000319	11.43_309.1228	RP_POS	11.43	309.1228
C000320	5.09_369.9903	RP_POS	5.09	369.9903
C000321	0.93_163.0793	RP_POS	0.93	163.0793
C000322	9.72_145.1221	RP_POS	9.72	145.1221
C000323	4.94_301.0600	RP_POS	4.94	301.06
C000324	8.50_573.6458	RP_POS	8.5	573.6458
C000325	4.86_257.0398	RP_POS	4.86	257.0398
C000326	10.81_601.2968	RP_POS	10.81	601.2968
C000327	12.12_357.1779	RP_POS	12.12	357.1779
C000328	2.56_181.0914	RP_POS	2.56	181.0914
C000329	5.76_300.1228	RP_POS	5.76	300.1228
C000330	5.97_188.0376	RP_POS	5.97	188.0376
C000331	1.97_357.0657	RP_POS	1.97	357.0657
C000332	12.04_593.2251	RP_POS	12.04	593.2251
C000333	8.62_402.2848	RP_POS	8.62	402.2848
C000334	7.87_273.1082	RP_POS	7.87	273.1082
C000335	1.08_316.1026	RP_POS	1.08	316.1026
C000336	12.24_501.2008	RP_POS	12.24	501.2008
C000337	8.43_380.2177	RP_POS	8.43	380.2177
C000338	7.89_427.0912	RP_POS	7.89	427.0912
C000339	6.96_440.2504	RP_POS	6.96	440.2504
C000340	6.89_234.1335	RP_POS	6.89	234.1335
C000341	2.54_422.1822	RP_POS	2.54	422.1822
C000342	3.01_316.0815	RP_POS	3.01	316.0815
C000343	10.74_293.0951	RP_POS	10.74	293.0951
C000344	10.64_275.1852	RP_POS	10.64	275.1852
C000345	1.20_273.1807	RP_POS	1.2	273.1807
C000346	10.25_477.2629	RP_POS	10.25	477.2629
C000347	7.23_242.1749	RP_POS	7.23	242.1749
C000348	4.33_313.2119	RP_POS	4.33	313.2119
C000349	6.37_255.0738	RP_POS	6.37	255.0738
C000350	9.72_391.2088	RP_POS	9.72	391.2088
C000351	5.20_364.1979	RP_POS	5.2	364.1979
C000352	11.67_431.1225	RP_POS	11.67	431.1225
C000353	11.11_507.1539	RP_POS	11.11	507.1539
C000354	2.16_135.0475	RP_POS	2.16	135.0475
C000355	7.30_465.1068	RP_POS	7.3	465.1068
C000356	4.12_460.0971	RP_POS	4.12	460.0971
C000357	13.17_455.2250	RP_POS	13.17	455.225
C000358	6.06_288.0865	RP_POS	6.06	288.0865
C000359	11.18_211.1480	RP_POS	11.18	211.148
C000360	7.00_249.1207	RP_POS	7	249.1207
C000361	6.76_226.1050	RP_POS	6.76	226.105
C000362	9.72_163.0962	RP_POS	9.72	163.0962
C000363	4.80_264.0866	RP_POS	4.8	264.0866
C000364	5.97_328.5734	RP_POS	5.97	328.5734
C000365	7.66_227.0702	RP_POS	7.66	227.0702
C000366	3.04_430.1707	RP_POS	3.04	430.1707
C000367	9.48_588.1442	RP_POS	9.48	588.1442
C000368	7.62_427.1938	RP_POS	7.62	427.1938
C000369	7.73_539.2826	RP_POS	7.73	539.2826
C000370	8.48_459.0597	RP_POS	8.48	459.0597
C000371	12.24_205.1951	RP_POS	12.24	205.1951
C000372	1.81_219.1339	RP_POS	1.81	219.1339
C000373	6.85_345.0743	RP_POS	6.85	345.0743
C000374	3.61_181.1335	RP_POS	3.61	181.1335
C000375	3.26_369.0614	RP_POS	3.26	369.0614
C000376	10.32_302.0684	RP_POS	10.32	302.0684
C000377	11.65_373.1995	RP_POS	11.65	373.1995
C000378	8.29_252.1427	RP_POS	8.29	252.1427
C000379	10.64_297.1008	RP_POS	10.64	297.1008
C000380	6.31_480.2341	RP_POS	6.31	480.2341
C000381	13.21_343.2630	RP_POS	13.21	343.263
C000382	12.49_357.1882	RP_POS	12.49	357.1882
C000383	10.83_378.2274	RP_POS	10.83	378.2274
C000384	10.37_158.0726	RP_POS	10.37	158.0726
C000385	10.59_587.2443	RP_POS	10.59	587.2443
C000386	8.39_329.1470	RP_POS	8.39	329.147
C000387	11.20_611.2381	RP_POS	11.2	611.2381
C000388	5.06_254.1386	RP_POS	5.06	254.1386
C000389	3.98_236.0894	RP_POS	3.98	236.0894
C000390	6.06_184.0161	RP_POS	6.06	184.0161
C000391	3.59_141.1387	RP_POS	3.59	141.1387
C000392	2.86_480.1864	RP_POS	2.86	480.1864
C000393	5.63_173.1073	RP_POS	5.63	173.1073
C000394	10.54_287.1611	RP_POS	10.54	287.1611
C000395	9.11_154.1308	RP_POS	9.11	154.1308
C000396	11.28_529.2620	RP_POS	11.28	529.262
C000397	8.62_237.0732	RP_POS	8.62	237.0732
C000398	10.83_286.1650	RP_POS	10.83	286.165
C000399	3.51_384.1398	RP_POS	3.51	384.1398
C000400	11.50_371.2903	RP_POS	11.5	371.2903
C000401	4.64_304.0293	RP_POS	4.64	304.0293
C000402	3.84_423.1906	RP_POS	3.84	423.1906
C000403	10.98_155.0855	RP_POS	10.98	155.0855
C000404	11.08_329.1415	RP_POS	11.08	329.1415
C000405	10.78_385.1968	RP_POS	10.78	385.1968
C000406	8.53_301.1756	RP_POS	8.53	301.1756
C000407	2.12_369.0293	RP_POS	2.12	369.0293
C000408	8.76_242.0785	RP_POS	8.76	242.0785
C000409	6.33_318.1698	RP_POS	6.33	318.1698
C000410	4.37_328.1389	RP_POS	4.37	328.1389
